"id","parent_investment_id","amount","date(ipt.authenticated_at)","balance_principal_amount"
90663869,,5000.0,"2022-06-01",
90569717,,5000.0,"2022-06-01",
90569718,,5000.0,"2022-06-01",
90569719,,5000.0,"2022-06-01",
90570331,,250000.0,"2022-06-01",
90482719,,200000.0,"2022-06-01",
90482720,,100000.0,"2022-06-01",
90482721,,200000.0,"2022-06-01",
90482722,,40000.0,"2022-06-01",
90482723,,280000.0,"2022-06-01",
90482724,,250000.0,"2022-06-01",
90482725,,100000.0,"2022-06-01",
90482726,,975000.0,"2022-06-01",
90482727,,250000.0,"2022-06-01",
90482728,,975000.0,"2022-06-01",
90482729,,250000.0,"2022-06-01",
90482730,,300000.0,"2022-06-01",
90482731,,500000.0,"2022-06-01",
90482732,,509000.0,"2022-06-01",
90482733,,500000.0,"2022-06-01",
90482734,,1000000.0,"2022-06-01",
90482735,,250000.0,"2022-06-01",
90482736,,300000.0,"2022-06-01",
90482737,,500000.0,"2022-06-01",
90482738,,500000.0,"2022-06-01",
90482739,,500000.0,"2022-06-01",
90482740,,1000000.0,"2022-06-01",
90482741,,250000.0,"2022-06-01",
90482742,,250000.0,"2022-06-01",
90482743,,250000.0,"2022-06-01",
90482745,,1000000.0,"2022-06-01",
90482746,90317075,355619.62,"2022-06-01",355619.62
90483031,,500000.0,"2022-06-01",
90483061,,71000.0,"2022-06-01",
90483062,,1000000.0,"2022-06-01",
90483067,,17288.0,"2022-06-01",
90500387,,5000.0,"2022-06-01",
90500388,,10000.0,"2022-06-01",
90500389,,35000.0,"2022-06-01",
90500390,,20000.0,"2022-06-01",
90500391,,5000.0,"2022-06-01",
90500392,,10000.0,"2022-06-01",
90500393,,20000.0,"2022-06-01",
90500394,,15000.0,"2022-06-01",
90500395,,12000.0,"2022-06-01",
90500396,,10000.0,"2022-06-01",
90500397,,5000.0,"2022-06-01",
90500398,,15000.0,"2022-06-01",
90500399,,15000.0,"2022-06-01",
90500400,,7000.0,"2022-06-01",
90500401,,25000.0,"2022-06-01",
90500402,,15000.0,"2022-06-01",
90500403,,70000.0,"2022-06-01",
90500404,,12000.0,"2022-06-01",
90500405,,20000.0,"2022-06-01",
90500406,,60000.0,"2022-06-01",
90500407,,10000.0,"2022-06-01",
90500408,,10000.0,"2022-06-01",
90500409,,10000.0,"2022-06-01",
90500410,,10000.0,"2022-06-01",
90500411,,12500.0,"2022-06-01",
90500412,,15000.0,"2022-06-01",
90500413,,10000.0,"2022-06-01",
90500414,,5000.0,"2022-06-01",
90500415,,5000.0,"2022-06-01",
90500416,,10000.0,"2022-06-01",
90500417,,50000.0,"2022-06-01",
90500418,,20000.0,"2022-06-01",
90500419,,20000.0,"2022-06-01",
90500420,,25000.0,"2022-06-01",
90500421,,13000.0,"2022-06-01",
90500422,,5000.0,"2022-06-01",
90500423,,25000.0,"2022-06-01",
90500424,,25000.0,"2022-06-01",
90500425,,25000.0,"2022-06-01",
90500426,,5000.0,"2022-06-01",
90500427,,5000.0,"2022-06-01",
90500428,,10000.0,"2022-06-01",
90500429,,20000.0,"2022-06-01",
90500430,,10000.0,"2022-06-01",
