investment_id,redeemed_principal,withdrawal_date
66774213,19604.209,01-06-2021
64936264,17651.36,01-06-2021
66774236,35000,01-06-2021
68162998,14731.246,01-06-2021
65378164,500000,01-06-2021
66769048,39999.77,01-06-2021
62585030,976207.3,02-06-2021
64936309,49999.38,01-06-2021
67283353,89517.44,01-06-2021
66484078,99999.96,01-06-2021
65129678,25384.477,02-06-2021
64935788,100000,02-06-2021
66786525,1916.253,02-06-2021
61221818,99999.984,02-06-2021
59172903,16384.79,02-06-2021
68432192,100000,01-06-2021
66085814,300000,02-06-2021
66104349,200000,02-06-2021
68162998,80268.75,02-06-2021
68162999,4708.6514,02-06-2021
64935716,5000,02-06-2021
64935898,184508.58,02-06-2021
67673037,100000,02-06-2021
63568383,14534.781,03-06-2021
65604989,90000,03-06-2021
66156216,50000,03-06-2021
66162810,100000,03-06-2021
56025666,49999.996,03-06-2021
21613888,49796.395,03-06-2021
68132616,99999.99,03-06-2021
68459119,100000,03-06-2021
59986610,100000,04-06-2021
68459118,200000,05-06-2021
65358108,500000,04-06-2021
62548490,349999.22,04-06-2021
67495455,10000,04-06-2021
68427478,29178.156,04-06-2021
66500352,29558.432,05-06-2021
64664174,100000,05-06-2021
27848867,299999.97,05-06-2021
65055015,70000,05-06-2021
65055017,20000,05-06-2021
65055019,102891.48,05-06-2021
64936128,21173.24,06-06-2021
68389948,5000,06-06-2021
68441505,12000,06-06-2021
64936023,928.9086,06-06-2021
66104343,18897.623,06-06-2021
64936127,50000,06-06-2021
66156233,11000,06-06-2021
64702852,199467.64,07-06-2021
64935679,349999.6,07-06-2021
64935694,24414.596,07-06-2021
22159735,49829.926,07-06-2021
64935910,10256.339,07-06-2021
66774237,9349.004,07-06-2021
45108058,10485.476,07-06-2021
45108082,138817.22,07-06-2021
63591845,54550.727,07-06-2021
65055044,30000,07-06-2021
66162821,5000,07-06-2021
66162822,5000,07-06-2021
66162823,5000,07-06-2021
66484071,25000,07-06-2021
66751985,34000,07-06-2021
67715563,169626.39,07-06-2021
67715563,10373.605,07-06-2021
