,withdrawal_date,redeemed_principal,Seasonal Difference,forecast
0,2021-06-01,966503.365,,
1,2021-06-02,2594378.7554,,
2,2021-06-03,1096102.912,,
3,2021-06-04,989177.3759999999,,
4,2021-06-05,1272449.882,,
5,2021-06-06,118999.77160000001,,
6,2021-06-07,1707796.685,,
7,2021-06-08,1885867.724,,
8,2021-06-09,9044409.18,,
9,2021-06-10,899983.44,,
10,2021-06-11,2397615.7262999997,,
11,2021-06-12,968655.804,,
12,2021-06-13,742123.12,,
13,2021-06-14,3473609.415,,
14,2021-06-15,3189572.284,,
15,2021-06-16,2454350.222,,
16,2021-06-17,793329.7663,,
17,2021-06-18,1734493.273,,
18,2021-06-19,3000000.0,,
19,2021-06-20,372036.85,,
20,2021-06-21,3695195.9,,
21,2021-06-22,1830382.4712,,
22,2021-06-23,1967373.951,,
23,2021-06-24,1623374.5885,,
24,2021-06-25,1949982.906,,
25,2021-06-26,739999.21,,
26,2021-06-27,608918.8999999999,,
27,2021-06-28,3310750.9019,,
28,2021-06-29,2419531.7239,,
29,2021-06-30,2508115.7866,,
30,2021-07-01,7770252.401000001,,
31,2021-07-02,1832297.3206,865793.9556,
32,2021-07-03,1146249.798,-1448128.9574000002,
33,2021-07-04,1603384.3496,507281.43760000006,
34,2021-07-05,2334015.5131,1344838.1371000002,
35,2021-07-06,2801724.6905,1529274.8085,
36,2021-07-07,4602678.474,4483678.702400001,
37,2021-07-08,2204874.2695,497077.5844999999,
38,2021-07-09,2534013.855,648146.131,
39,2021-07-10,251283.0671,-8793126.1129,
40,2021-07-11,15000.0,-884983.44,
41,2021-07-12,3581134.334,1183518.6077,
42,2021-07-13,1384070.2663,415414.4623,
43,2021-07-14,820140.9110000001,78017.79100000008,
44,2021-07-15,913208.726,-2560400.6890000002,
45,2021-07-16,1320948.3253000001,-1868623.9586999998,
46,2021-07-17,593715.2676,-1860634.9544000002,
47,2021-07-18,906000.0,112670.23369999998,
48,2021-07-19,12495936.918,10761443.645,
49,2021-07-20,1889977.949,-1110022.051,
50,2021-07-21,183717.78100000002,-188319.06899999996,
51,2021-07-22,3060811.358,-634384.5419999999,
52,2021-07-23,177897.998,-1652484.4732000001,
53,2021-07-24,767475.101,-1199898.8499999999,
54,2021-07-25,311751.482,-1311623.1065,
55,2021-07-26,5939320.311,3989337.405,
56,2021-07-27,7873752.33,7133753.12,
57,2021-07-28,2793810.9933,2184892.0933000003,
58,2021-07-29,1612116.4572,-1698634.4446999999,
59,2021-07-30,2725935.9729,306404.24899999984,
60,2021-07-31,915808.3395,-1592307.4471000002,
61,2021-08-01,910925.2,-6859327.201,
62,2021-08-02,5144428.5747,3312131.2540999996,
63,2021-08-03,2591116.7923,1444866.9943,
64,2021-08-04,1513331.8569999998,-90052.49260000023,
65,2021-08-05,2175791.1197,-158224.39339999994,
66,2021-08-06,1893358.557,-908366.1335,
67,2021-08-07,532294.78,-4070383.694,
68,2021-08-08,2104499.476,-100374.79350000015,
69,2021-08-09,6840483.1876,4306469.332599999,
70,2021-08-10,3222014.7649,2970731.6977999997,
71,2021-08-11,3189384.48,3174384.48,
72,2021-08-12,1706711.3591999998,-1874422.9748,
73,2021-08-13,369204.1645,-1014866.1018000001,
74,2021-08-14,398914.765,-421226.14600000007,
75,2021-08-15,179108.85249999998,-734099.8735,
76,2021-08-16,9493155.3091,8172206.9838,
77,2021-08-17,3643350.6327,3049635.3651,
78,2021-08-18,2821278.264,1915278.264,
79,2021-08-19,650731.85,-11845205.068,
80,2021-08-20,5861516.2985,3971538.3494999995,
81,2021-08-21,1100390.2508,916672.4698000001,
82,2021-08-22,642690.462,-2418120.8959999997,
83,2021-08-23,5017617.365999999,4839719.368,
84,2021-08-24,4056814.6936999997,3289339.5927,
85,2021-08-25,3574849.4907,3263098.0087,
86,2021-08-26,4495027.7852,-1444292.5258,
87,2021-08-27,2157430.254,-5716322.075999999,
88,2021-08-28,49999.53,-2743811.4633000004,
89,2021-08-29,506541.3,-1105575.1572,
90,2021-08-30,4211298.68,1485362.7070999998,
91,2021-08-31,2908666.0889,1992857.7493999999,
92,2021-09-01,4012478.488,3101553.2879999997,
93,2021-09-02,2153435.4192,-2990993.1555,
94,2021-09-03,3108809.3098999998,517692.5175999999,
95,2021-09-04,4999.853,-1508332.004,
96,2021-09-05,137349.7596,-2038441.3601000002,
97,2021-09-06,4634772.0422,2741413.4852,
98,2021-09-07,2144045.9057,1611751.1257,
99,2021-09-08,4305382.414,2200882.938,
100,2021-09-09,7091070.0703,250586.88269999996,
101,2021-09-11,255838.0645,-2966176.7004,
102,2021-09-12,97060.75,-3092323.73,
103,2021-09-13,2612181.9477,905470.5885000001,
104,2021-09-14,1234833.77,865629.6055000001,
105,2021-09-15,7713121.0229,7314206.257900001,
106,2021-09-16,3542134.9099,3363026.0574,
107,2021-09-17,2008312.4314,-7484842.8777,
108,2021-09-18,1349446.4807,-2293904.152,
109,2021-09-19,156321.473,-2664956.791,
