,withdrawal_date,redeemed_principal,Seasonal Difference,forecast,
0,01-06-2021,966503.365,,,
1,02-06-2021,2594378.755,,,
2,03-06-2021,1096102.912,,,
3,04-06-2021,989177.376,,,
4,05-06-2021,1272449.882,,,
5,06-06-2021,118999.7716,,,
6,07-06-2021,1707796.685,,,
7,08-06-2021,1885867.724,,,
8,09-06-2021,9044409.18,,,
9,10-06-2021,899983.44,,,
10,11-06-2021,2397615.726,,,
11,12-06-2021,968655.804,,,
12,13-06-2021,742123.12,,,
13,14-06-2021,3473609.415,,,
14,15-06-2021,3189572.284,,,
15,16-06-2021,2454350.222,,,
16,17-06-2021,793329.7663,,,
17,18-06-2021,1734493.273,,,
18,19-06-2021,3000000,,,
19,20-06-2021,372036.85,,,
20,21-06-2021,3695195.9,,,
21,22-06-2021,1830382.471,,,
22,23-06-2021,1967373.951,,,
23,24-06-2021,1623374.589,,,
24,25-06-2021,1949982.906,,,
25,26-06-2021,739999.21,,,
26,27-06-2021,608918.9,,,
27,28-06-2021,3310750.902,,,
28,29-06-2021,2419531.724,,,
29,30-06-2021,2508115.787,,,
30,01-07-2021,7770252.401,,,
31,02-07-2021,1832297.321,865793.9556,,
32,03-07-2021,1146249.798,-1448128.957,,
33,04-07-2021,1603384.35,507281.4376,,
34,05-07-2021,2334015.513,1344838.137,,
35,06-07-2021,2801724.691,1529274.809,,
36,07-07-2021,4602678.474,4483678.702,,
37,08-07-2021,2204874.27,497077.5845,,
38,09-07-2021,2534013.855,648146.131,,
39,10-07-2021,251283.0671,-8793126.113,,
40,11-07-2021,15000,-884983.44,,
41,12-07-2021,3581134.334,1183518.608,,
42,13-07-2021,1384070.266,415414.4623,,
43,14-07-2021,820140.911,78017.791,,
44,15-07-2021,913208.726,-2560400.689,,
45,16-07-2021,1320948.325,-1868623.959,,
46,17-07-2021,593715.2676,-1860634.954,,
47,18-07-2021,906000,112670.2337,,
48,19-07-2021,12495936.92,10761443.65,,
49,20-07-2021,1889977.949,-1110022.051,,
50,21-07-2021,183717.781,-188319.069,,
51,22-07-2021,3060811.358,-634384.542,,
52,23-07-2021,177897.998,-1652484.473,,
53,24-07-2021,767475.101,-1199898.85,,
54,25-07-2021,311751.482,-1311623.107,,
55,26-07-2021,5939320.311,3989337.405,,
56,27-07-2021,7873752.33,7133753.12,,
57,28-07-2021,2793810.993,2184892.093,,
58,29-07-2021,1612116.457,-1698634.445,,
59,30-07-2021,2725935.973,306404.249,,
60,31-07-2021,915808.3395,-1592307.447,,
61,01-08-2021,910925.2,-6859327.201,,
62,02-08-2021,5144428.575,3312131.254,,
63,03-08-2021,2591116.792,1444866.994,,
64,04-08-2021,1513331.857,-90052.4926,,
65,05-08-2021,2175791.12,-158224.3934,,
66,06-08-2021,1893358.557,-908366.1335,,
67,07-08-2021,532294.78,-4070383.694,,
