"investment_id","withdrawal_date","redeemed_principal","transaction_sub_type"
68427462,"2022-06-01",50000.0,WithdrawMoney
90315547,"2022-06-01",50000.0,WithdrawMoney
90004441,"2022-06-01",99999.91,WithdrawMoney
90317098,"2022-06-01",218479.86,WithdrawMoney
90317100,"2022-06-01",446746.1,WithdrawMoney
90317183,"2022-06-01",111154.07,WithdrawMoney
90317185,"2022-06-01",223619.98,WithdrawMoney
90317159,"2022-06-01",300000.0,WithdrawMoney
90317171,"2022-06-01",254014.02,WithdrawMoney
77432399,"2022-06-01",36933.4,WithdrawMoney
77572740,"2022-06-01",8437.702,WithdrawMoney
89818707,"2022-06-01",0.0,WithdrawMoney
87753558,"2022-06-01",300000.0,VirtualRedemption
76458394,"2022-06-01",229906.9,WithdrawMoney
89983660,"2022-06-01",990000.0,WithdrawMoney
88016319,"2022-06-01",294625.56,VirtualRedemption
89985431,"2022-06-01",660224.0,VirtualRedemption
87754322,"2022-06-01",200000.0,VirtualRedemption
87754084,"2022-06-01",50000.0,VirtualRedemption
88488473,"2022-06-01",62735.625,WithdrawMoney
89978137,"2022-06-01",510507.1,WithdrawMoney
68453518,"2022-06-01",100000.0,WithdrawMoney
68453534,"2022-06-01",150000.0,WithdrawMoney
69854830,"2022-06-01",96294.71,VirtualRedemption
68453519,"2022-06-01",100000.0,WithdrawMoney
68389959,"2022-06-01",300000.0,WithdrawMoney
87744872,"2022-06-01",0.0,WithdrawMoney
87744872,"2022-06-01",314188.4,VirtualRedemption
68389949,"2022-06-01",0.0,WithdrawMoney
68389949,"2022-06-01",50000.0,VirtualRedemption
77457620,"2022-06-01",101000.0,WithdrawMoney
90296978,"2022-06-01",304816.8,WithdrawMoney
69932930,"2022-06-01",0.0,WithdrawMoney
70116259,"2022-06-01",0.0,WithdrawMoney
71485763,"2022-06-01",0.0,WithdrawMoney
72223511,"2022-06-01",0.0,WithdrawMoney
77356686,"2022-06-01",0.0,WithdrawMoney
77886070,"2022-06-01",0.0,WithdrawMoney
79273419,"2022-06-01",0.0,WithdrawMoney
79273422,"2022-06-01",0.0,WithdrawMoney
88279765,"2022-06-01",0.0,WithdrawMoney
90245605,"2022-06-01",0.0,WithdrawMoney
68389958,"2022-06-01",200000.0,WithdrawMoney
70222563,"2022-06-01",50171.87,VirtualRedemption
69838294,"2022-06-01",300000.0,VirtualRedemption
68453528,"2022-06-01",198948.19,VirtualRedemption
68441476,"2022-06-01",4400000.0,VirtualRedemption
68453524,"2022-06-01",33867.273,VirtualRedemption
88488864,"2022-06-01",540501.25,VirtualRedemption
89101462,"2022-06-01",150000.0,VirtualRedemption
68389947,"2022-06-01",25000.0,VirtualRedemption
68389955,"2022-06-01",400000.0,VirtualRedemption
90073178,"2022-06-01",120034.15,VirtualRedemption
68408636,"2022-06-01",6000.0,VirtualRedemption
68408642,"2022-06-01",1500000.0,VirtualRedemption
68408644,"2022-06-01",1500000.0,VirtualRedemption
68806115,"2022-06-01",15000.0,VirtualRedemption
70030059,"2022-06-01",5000.0,VirtualRedemption
68453520,"2022-06-01",20000.0,VirtualRedemption
68389957,"2022-06-01",400000.0,VirtualRedemption
68453537,"2022-06-01",50000.0,VirtualRedemption
68441483,"2022-06-01",50000.0,VirtualRedemption
68408643,"2022-06-01",1500000.0,VirtualRedemption
68408641,"2022-06-01",500000.0,VirtualRedemption
68408638,"2022-06-01",20000.0,VirtualRedemption
68408633,"2022-06-01",100000.0,VirtualRedemption
68453530,"2022-06-01",0.0,WithdrawMoney
68453530,"2022-06-01",99999.97,VirtualRedemption
68389945,"2022-06-01",20000.0,VirtualRedemption
69854828,"2022-06-01",140000.0,VirtualRedemption
88015654,"2022-06-01",57795.547,VirtualRedemption
89985413,"2022-06-01",27500.0,VirtualRedemption
87754309,"2022-06-01",100000.0,VirtualRedemption
87752553,"2022-06-01",1000000.0,VirtualRedemption
87752537,"2022-06-01",10000.0,VirtualRedemption
88016336,"2022-06-01",1000000.0,VirtualRedemption
89900233,"2022-06-01",42136.637,WithdrawMoney
90291717,"2022-06-01",20874.137,WithdrawMoney
90272322,"2022-06-01",12999.818,WithdrawMoney
89841264,"2022-06-01",50000.0,WithdrawMoney
89880721,"2022-06-01",50000.0,WithdrawMoney
90035512,"2022-06-01",50000.0,WithdrawMoney
90145401,"2022-06-01",30000.0,WithdrawMoney
90250250,"2022-06-01",50000.0,WithdrawMoney
70770292,"2022-06-01",50000.0,WithdrawMoney
72112169,"2022-06-01",50000.0,WithdrawMoney
74329673,"2022-06-01",50000.0,WithdrawMoney
77786671,"2022-06-01",50000.0,WithdrawMoney
83832381,"2022-06-01",30000.0,WithdrawMoney
89101477,"2022-06-01",50000.0,WithdrawMoney
90165167,"2022-06-01",11195.434,WithdrawMoney
90257864,"2022-06-01",88694.4,WithdrawMoney
90220981,"2022-06-01",157602.2,WithdrawMoney
90220982,"2022-06-01",0.0,WithdrawMoney
66146697,"2022-06-01",0.0,WithdrawMoney
89900212,"2022-06-01",199606.81,WithdrawMoney
90073439,"2022-06-01",0.0,WithdrawMoney
90075325,"2022-06-01",0.0,WithdrawMoney
90093321,"2022-06-01",0.0,WithdrawMoney
89901829,"2022-06-01",14142.235,WithdrawMoney
89901830,"2022-06-01",0.0,WithdrawMoney
75055442,"2022-06-01",0.0,WithdrawMoney
75927591,"2022-06-01",0.0,WithdrawMoney
82033272,"2022-06-01",0.0,WithdrawMoney
87754162,"2022-06-01",0.0,WithdrawMoney
68427479,"2022-06-01",6228.264,WithdrawMoney
89900230,"2022-06-01",30857.19,WithdrawMoney
90051912,"2022-06-01",0.0,WithdrawMoney
89901901,"2022-06-01",920788.9,WithdrawMoney
90246496,"2022-06-01",29348.479,WithdrawMoney
90250207,"2022-06-01",0.0,WithdrawMoney
90250210,"2022-06-01",0.0,WithdrawMoney
90250211,"2022-06-01",0.0,WithdrawMoney
90250212,"2022-06-01",0.0,WithdrawMoney
90250213,"2022-06-01",0.0,WithdrawMoney
90178159,"2022-06-01",970371.5,WithdrawMoney
90246496,"2022-06-01",20651.521,WithdrawMoney
90250207,"2022-06-01",11348.479,WithdrawMoney
90250207,"2022-06-01",1000.0,WithdrawMoney
89900232,"2022-06-01",78505.664,WithdrawMoney
90296395,"2022-06-01",50000.0,WithdrawMoney
89825263,"2022-06-01",1131.3673,WithdrawMoney
80449810,"2022-06-01",45029.207,WithdrawMoney
90180743,"2022-06-01",700000.0,WithdrawMoney
89848936,"2022-06-01",357520.16,WithdrawMoney
90046248,"2022-06-01",67987.555,WithdrawMoney
90046250,"2022-06-01",0.0,WithdrawMoney
90046252,"2022-06-01",0.0,WithdrawMoney
89820583,"2022-06-01",158010.16,WithdrawMoney
89823374,"2022-06-01",48942.746,WithdrawMoney
73892898,"2022-06-01",10132.589,WithdrawMoney
76681402,"2022-06-01",0.0,WithdrawMoney
90134355,"2022-06-01",0.0,WithdrawMoney
90197928,"2022-06-01",0.0,WithdrawMoney
80527138,"2022-06-01",0.0,WithdrawMoney
82023838,"2022-06-01",0.0,WithdrawMoney
84827163,"2022-06-01",50000.0,WithdrawMoney
90154997,"2022-06-01",1499472.9,WithdrawMoney
89820577,"2022-06-01",0.1928,WithdrawMoney
90317067,"2022-06-01",203211.22,WithdrawMoney
90317069,"2022-06-01",406422.44,WithdrawMoney
90317151,"2022-06-01",101605.61,WithdrawMoney
90317153,"2022-06-01",101605.61,WithdrawMoney
90317155,"2022-06-01",50802.805,WithdrawMoney
90315267,"2022-06-01",54075.0,WithdrawMoney
84827151,"2022-06-01",14648.902,WithdrawMoney
90138960,"2022-06-01",0.0084,WithdrawMoney
81481017,"2022-06-01",47494.13,WithdrawMoney
90075283,"2022-06-01",19100.828,WithdrawMoney
90186674,"2022-06-01",13921.574,WithdrawMoney
90076883,"2022-06-01",9412.28,WithdrawMoney
90054441,"2022-06-01",0.0,WithdrawMoney
90145494,"2022-06-01",0.0,WithdrawMoney
81785042,"2022-06-01",0.0,WithdrawMoney
81785046,"2022-06-01",0.0,WithdrawMoney
90294643,"2022-06-01",10000.0,WithdrawMoney
90220991,"2022-06-01",19999.783,WithdrawMoney
90203092,"2022-06-01",2000000.0,WithdrawMoney
90218603,"2022-06-01",24999.729,WithdrawMoney
89984409,"2022-06-01",80627.19,WithdrawMoney
72245558,"2022-06-01",0.0,WithdrawMoney
89915757,"2022-06-01",99789.125,WithdrawMoney
